Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
10,Sun,10/28/18,16:15 (11:15),Barcelona,3,5–1,1.7,Real Madrid,93265,Camp Nou,José Sánchez,Match Report,
10,Sun,10/28/18,18:30 (13:30),Alavés,1.8,2–1,1.5,Villarreal,16956,Estadio de Mendizorroza,Guillermo Cuadra,Match Report,
10,Sun,10/28/18,20:45 (15:45),Sevilla,2,2–1,0.6,Huesca,33022,Estadio Ramón Sánchez Pizjuán,David Medié,Match Report,
,,,,,,,,,,,,,
11,Sat,11/3/18,13:00 (08:00),Leganés,0.8,1–1,0.5,Atlético Madrid,12319,Estadio Municipal de Butarque,Mario Melero,Match Report,
11,Sat,11/3/18,16:15 (11:15),Real Madrid,2.1,2–0,1.1,Valladolid,68050,Estadio Santiago Bernabéu,Jesús Gil,Match Report,
11,Sat,11/3/18,18:30 (13:30),Valencia,1.8,0–1,0.5,Girona,38745,Estadio de Mestalla,Alberola Rojas,Match Report,
11,Sat,11/3/18,20:45 (15:45),Rayo Vallecano,1.3,2–3,1.1,Barcelona,13785,Estadio del Rayo Vallecano,Alejandro Hernández,Match Report,
11,Sun,11/4/18,12:00 (06:00),Eibar,1.5,2–1,0.7,Alavés,5660,Estadio Municipal de Ipurúa,Ignacio Iglesias,Match Report,
11,Sun,11/4/18,16:15 (10:15),Villarreal,1.3,1–1,0.8,Levante,16499,Estadio de la Cerámica,Carlos del Cerro,Match Report,
11,Sun,11/4/18,18:30 (12:30),Real Sociedad,0.6,0–0,0.4,Sevilla,24882,Estadio Municipal de Anoeta,Eduardo Prieto,Match Report,
11,Sun,11/4/18,18:30 (12:30),Huesca,1.4,1–1,0.9,Getafe,6420,Estadio El Alcoraz,Juan Martínez,Match Report,
11,Sun,11/4/18,20:45 (14:45),Betis,2.1,3–3,1.4,Celta Vigo,42130,Estadio Benito Villamarín,Javier Estrada,Match Report,
11,Mon,11/5/18,21:00 (15:00),Espanyol,1.6,1–0,0.5,Athletic Bilbao,14328,RCDE Stadium,Pablo González,Match Report,
,,,,,,,,,,,,,
12,Fri,11/9/18,21:00 (15:00),Levante,0.9,1–3,1.3,Real Sociedad,19890,Estadio Ciudad de Valencia,David Medié,Match Report,
12,Sat,11/10/18,13:00 (07:00),Valladolid,0.6,0–0,1.2,Eibar,16038,Estadio Municipal José Zorrilla,Guillermo Cuadra,Match Report,
12,Sat,11/10/18,16:15 (10:15),Getafe,1.4,0–1,2,Valencia,10011,Coliseum Alfonso Pérez,Ricardo de Burgos,Match Report,
12,Sat,11/10/18,18:30 (12:30),Atlético Madrid,1.1,3–2,1.4,Athletic Bilbao,59321,Estadio Wanda Metropolitano,José Sánchez,Match Report,
12,Sat,11/10/18,20:45 (14:45),Girona,0.7,0–0,1.1,Leganés,9874,Estadi Municipal de Montilivi,Adrián Cordero,Match Report,
12,Sun,11/11/18,12:00 (06:00),Alavés,1,2–1,0.9,Huesca,18437,Estadio de Mendizorroza,José Luis Munuera,Match Report,
12,Sun,11/11/18,16:15 (10:15),Barcelona,4.1,3–4,2,Betis,83174,Camp Nou,Antonio Matéu Lahoz,Match Report,
12,Sun,11/11/18,18:30 (12:30),Sevilla,3.3,2–1,1.5,Espanyol,38769,Estadio Ramón Sánchez Pizjuán,Santiago Jaime,Match Report,
12,Sun,11/11/18,18:30 (12:30),Rayo Vallecano,2,2–2,0.7,Villarreal,11840,Estadio del Rayo Vallecano,José González,Match Report,
12,Sun,11/11/18,20:45 (14:45),Celta Vigo,1.6,2–4,2.1,Real Madrid,21184,Estadio de Balaídos,Alberto Undiano,Match Report,
,,,,,,,,,,,,,
13,Fri,11/23/18,21:00 (15:00),Leganés,1,1–0,0.3,Alavés,9863,Estadio Municipal de Butarque,Alberola Rojas,Match Report,
13,Sat,11/24/18,13:00 (07:00),Eibar,2.8,3–0,0.6,Real Madrid,6435,Estadio Municipal de Ipurúa,Juan Martínez,Match Report,
13,Sat,11/24/18,16:15 (10:15),Valencia,1.8,3–0,0.7,Rayo Vallecano,37814,Estadio de Mestalla,Pablo González,Match Report,
13,Sat,11/24/18,18:30 (12:30),Huesca,2,2–2,0.6,Levante,6459,Estadio El Alcoraz,Javier Estrada,Match Report,
13,Sat,11/24/18,20:45 (14:45),Atlético Madrid,0.1,1–1,0.4,Barcelona,67204,Estadio Wanda Metropolitano,Jesús Gil,Match Report,
13,Sun,11/25/18,12:00 (06:00),Athletic Bilbao,0.3,1–1,2.1,Getafe,39821,San Mamés,Ignacio Iglesias,Match Report,
13,Sun,11/25/18,16:15 (10:15),Sevilla,2.1,1–0,0.6,Valladolid,34064,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
13,Sun,11/25/18,18:30 (12:30),Espanyol,2.2,1–3,2.4,Girona,22716,RCDE Stadium,Alejandro Hernández,Match Report,
13,Sun,11/25/18,20:45 (14:45),Villarreal,1,2–1,1.1,Betis,16028,Estadio de la Cerámica,Eduardo Prieto,Match Report,
13,Mon,11/26/18,21:00 (15:00),Real Sociedad,2,2–1,0.4,Celta Vigo,17744,Estadio Municipal de Anoeta,Mario Melero,Match Report,
,,,,,,,,,,,,,
14,Fri,11/30/18,21:00 (15:00),Rayo Vallecano,0.7,1–0,0.8,Eibar,11257,Estadio del Rayo Vallecano,Alberto Undiano,Match Report,
14,Sat,12/1/18,13:00 (07:00),Celta Vigo,2.1,2–0,0.8,Huesca,13463,Estadio de Balaídos,Adrián Cordero,Match Report,
14,Sat,12/1/18,16:15 (10:15),Valladolid,1.7,2–4,1.5,Leganés,16783,Estadio Municipal José Zorrilla,David Medié,Match Report,
14,Sat,12/1/18,18:30 (12:30),Getafe,1.1,3–0,1.1,Espanyol,9287,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,Match Report,
14,Sat,12/1/18,20:45 (14:45),Real Madrid,1.1,2–0,0.7,Valencia,69653,Estadio Santiago Bernabéu,José González,Match Report,
14,Sun,12/2/18,12:00 (06:00),Betis,0.8,1–0,0.9,Real Sociedad,46562,Estadio Benito Villamarín,Guillermo Cuadra,Match Report,
14,Sun,12/2/18,16:15 (10:15),Girona,1.3,1–1,2,Atlético Madrid,12104,Estadi Municipal de Montilivi,Ricardo de Burgos,Match Report,
14,Sun,12/2/18,18:30 (12:30),Barcelona,1.1,2–0,0.8,Villarreal,73003,Camp Nou,José Luis Munuera,Match Report,
