team,INT,CR,ACR,CCOP,CCSP,BLK,TKL,FC,FS,P,AW,BR,DR,DW,IBS,OBS,DSP,PK,FKCR,CRN,FKS,SV,AKS,PKC,CL,PUNCH,ALB,ATB,LMT,TOFF,BCS
Angers,420,627,141,248,55,109,676,449,455,11939,638,2264,318,2054,277,179,447,10,68,166,19,119,15,5,823,8,935,22,2,51,28
Bordeaux,390,659,137,268,37,114,720,545,503,13562,685,2386,342,2216,215,212,426,6,46,168,22,114,6,7,906,11,1057,13,1,60,17
Toulouse,381,629,140,243,52,126,668,558,479,11902,751,2332,366,2214,265,169,444,11,50,158,19,122,20,6,872,18,1015,12,2,69,18
Amiens,393,584,128,217,44,140,629,521,522,11032,743,2196,248,2118,199,190,405,3,65,137,19,116,4,9,813,6,979,16,1,65,17
Monaco,382,748,180,245,52,86,685,528,510,12966,635,2197,284,2082,280,187,352,5,57,195,25,93,5,8,799,13,901,11,2,55,19
Dijon,479,607,157,255,53,120,675,573,448,11999,730,2274,341,2156,236,219,376,4,50,167,25,113,16,3,767,13,1208,9,3,59,20
Caen,481,647,133,169,33,141,711,559,504,10501,801,2214,268,2233,180,156,419,4,67,127,17,142,4,8,884,5,1305,7,1,50,15
Guingamp,415,808,180,234,49,112,687,486,470,10396,806,2272,347,2272,238,177,477,6,72,194,17,103,8,6,705,19,1053,7,5,54,20
Juventus,398,871,215,367,63,130,572,471,477,17323,557,2166,370,1945,366,248,324,8,48,244,27,84,6,4,601,12,1438,12,0,75,43
Napoli,360,775,166,476,32,107,576,410,418,20097,406,2364,336,1711,391,315,323,4,19,255,23,101,6,4,590,10,1269,29,2,85,34
Atalanta,456,801,204,389,57,95,638,445,506,17045,639,2467,362,2131,433,210,462,4,28,242,16,92,10,5,632,16,1102,21,0,71,50
Inter,308,1091,277,404,53,104,615,468,497,18337,539,2222,286,1907,391,243,309,9,53,301,10,98,7,5,577,1,1244,18,0,64,33
AC Milan,373,751,169,376,39,109,642,445,482,16471,507,2166,341,1943,311,279,416,4,46,230,19,110,7,5,772,23,1140,14,1,63,28
Roma,414,855,241,378,67,154,536,461,401,14161,751,2222,352,2011,407,216,351,6,57,228,15,118,10,7,760,6,1198,24,0,50,38
Torino,448,752,197,304,43,117,635,617,576,11959,854,2455,337,2367,301,220,453,6,57,182,26,109,9,5,763,11,1195,12,1,75,18
Lazio,430,740,183,391,51,136,656,502,397,14812,635,2360,343,2000,372,242,334,6,41,226,22,106,9,6,732,21,1112,25,1,97,27
Sampdoria,366,638,139,269,29,122,647,493,522,16167,494,2289,277,1904,263,224,462,12,52,168,20,99,20,8,756,13,928,16,1,70,35
Bologna,376,735,157,268,49,142,689,516,524,10978,773,2188,272,2229,293,210,361,5,51,207,25,119,9,4,805,18,1035,6,1,83,29
Sassuolo,377,660,136,304,40,110,528,528,533,15425,483,2127,358,1878,265,251,386,5,40,185,21,112,9,8,779,15,968,15,3,73,29
Udinese,380,585,145,278,35,161,653,505,477,10680,724,2111,331,2147,231,234,372,8,35,164,12,133,1,9,969,36,1074,14,0,66,21
SPAL 2013,385,864,226,267,52,136,583,499,558,13222,597,2061,274,1976,282,180,398,8,53,196,15,120,5,5,800,11,938,1,2,37,22
Fiorentina,412,780,177,357,59,130,594,562,513,12286,658,2236,303,2044,345,242,375,6,53,236,15,107,8,6,830,19,1004,18,0,48,27
Cagliari,345,794,205,235,59,125,602,573,457,13443,872,2228,177,2081,269,168,368,3,50,190,13,155,7,10,780,13,1240,12,2,58,21
Parma Calcio 1913,398,512,100,185,36,183,579,493,438,9102,584,2083,279,1853,207,149,376,5,47,144,19,149,1,8,1023,8,1091,11,1,91,32
Genoa,427,794,173,295,66,114,670,559,485,10258,776,2243,286,2192,298,236,328,5,58,186,24,117,5,6,802,21,1026,13,1,65,21
Empoli,333,636,120,263,33,133,552,458,447,13619,445,2167,327,1750,303,157,369,7,25,187,17,166,11,8,742,20,1074,19,4,77,34
Frosinone,384,815,195,258,40,150,572,560,541,10502,655,2220,212,1941,263,193,351,5,52,160,24,149,4,5,845,8,971,4,2,73,16
Chievo,473,677,152,235,37,132,620,587,482,11615,729,2181,197,1990,210,181,356,6,35,131,14,141,1,4,916,13,1201,4,2,78,14
