,league,year,position,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff,Team,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,IBS,IBSOG,IBG,OBS,OBSOG,OBG,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
4,EPL,2018,6,Manchester United,38,19,9,10,65,54,66,68.61749799999998,3.617497999999984,59.37586199999999,52.30019000000002,-1.6998099999999778,47.733182000000006,11.64268,11.073851102868893,14.433334468656629,313,268,61.85960000000002,-4.140399999999978,Manchester United,65,40,0,35,5,526,225,355,638,128,382,64,308,33,128,582,347,433,409,15796,19203,74,697,2214,320,1986,311,153,55,215,72,10,425,3,26475,965,12,9,0,3,37,7,200,168,200,27,13,2,54,7,122,65,57,5,6,6,0,783,783,12,1176,28,2,90,61,36,549
12,EPL,2018,7,Wolverhampton Wanderers,38,16,9,13,47,46,57,53.05869160000001,6.058691600000009,50.01401560000002,42.691294,-3.3087060000000013,39.646622,10.367393600000002,15.863031190347195,12.292937802483705,184,220,59.9145,2.9144999999999968,Wolverhampton Wanderers,47,35,0,27,8,477,152,501,622,157,351,63,268,45,148,719,408,409,329,12991,16622,101,821,2468,328,2177,298,121,44,180,32,3,402,4,23966,753,4,4,0,0,44,17,195,153,195,12,3,2,46,9,100,63,39,1,4,4,0,824,824,8,1256,13,2,73,47,32,592
7,EPL,2018,8,Everton,38,15,9,14,54,46,54,53.86613399999999,-0.1338660000000118,49.92234399999998,49.30978990000001,3.3097899000000126,45.396306900000006,4.526037099999998,10.259641140308236,10.972068436971488,211,210,55.5378,1.5378000000000045,Everton,54,34,0,27,7,496,169,453,814,203,353,51,249,68,85,699,440,432,423,12756,16498,114,893,2434,327,2316,335,131,45,162,39,9,468,2,24494,918,5,2,1,2,81,23,215,197,215,20,6,2,46,14,94,56,37,15,5,5,3,824,824,13,1032,19,3,69,49,28,585
9,EPL,2018,9,West Ham,38,15,7,16,52,55,52,47.96052790000002,-4.039472099999976,44.15483690000002,65.66202299999999,10.66202299999999,61.856183,-17.701346099999995,13.315241395849931,10.406222991286182,261,293,43.7194,-8.2806,West Ham,52,33,0,24,9,441,157,457,630,152,325,47,240,51,141,723,393,331,393,12866,16357,76,643,2444,386,2129,278,117,47,164,41,5,389,1,24042,828,5,5,0,0,24,7,188,172,188,17,1,0,55,7,148,102,44,5,5,5,1,855,855,17,1103,30,4,71,33,30,666
10,EPL,2018,10,Leicester,38,15,7,16,51,48,52,52.11415300000001,1.1141530000000088,46.78597900000001,44.642585,-3.357415000000003,40.836749,5.949230000000003,12.790205225969682,11.480872856407974,205,253,56.23779999999999,4.237799999999994,Leicester,51,34,0,29,5,515,184,437,779,167,383,58,283,64,96,676,394,351,385,13638,17218,95,818,2317,385,2250,300,129,43,218,58,8,359,0,25040,865,7,5,0,2,47,13,210,182,210,19,6,3,48,10,90,62,29,7,5,5,0,945,945,15,1168,28,4,72,46,27,659
8,EPL,2018,11,Watford,38,14,8,16,52,59,50,51.73354600000001,-0.2664539999999889,50.97237600000002,63.291170999999984,4.291170999999984,59.485323,-8.512947,12.497500664608385,10.361421707280273,275,264,46.00149999999999,-3.9985000000000066,Watford,52,39,0,30,9,437,152,428,570,105,312,62,244,27,120,660,391,433,383,11770,15464,64,773,2330,288,2083,284,118,44,154,35,8,419,3,22879,912,1,1,0,0,70,9,177,139,178,22,4,0,59,7,127,86,41,30,5,5,1,956,956,10,1032,12,7,89,54,26,539
11,EPL,2018,12,Crystal Palace,38,14,7,17,51,53,49,50.642166,-0.3578340000000039,42.269351,52.804285,-0.19571499999999986,48.998432,-6.7290810000000025,15.408263149673393,9.201229984572498,256,261,51.92549999999999,2.9254999999999924,Crystal Palace,51,33,0,27,6,493,147,445,581,140,358,40,287,38,141,735,448,386,402,11706,15235,81,689,2301,373,2180,313,102,43,183,48,8,475,1,23208,962,11,10,0,1,45,9,205,182,205,16,6,1,53,12,113,75,37,7,5,5,1,939,939,25,917,12,2,78,39,25,664
15,EPL,2018,13,Newcastle United,38,12,9,17,42,48,45,39.9106505,-2.0893495000000044,37.6271415,57.545492,9.545492000000003,52.978485000000006,-15.3513435,14.721739818393585,10.545337655498406,178,305,39.2231,-5.776899999999998,Newcastle United,42,33,0,25,8,446,142,507,711,170,325,39,249,42,134,715,435,423,335,9829,13486,112,804,2321,233,2066,269,104,40,178,39,2,404,1,21312,686,3,1,0,2,42,8,181,155,181,16,4,1,48,11,95,71,29,14,6,6,0,1120,1120,15,1122,17,3,59,32,21,441
6,EPL,2018,14,Bournemouth,38,13,6,19,56,70,45,58.812899,2.8128990000000016,51.962379,62.423162,-7.576838000000002,58.61741299999999,-6.655034000000002,17.275897577109973,10.752280518848501,280,313,51.4947,6.494700000000003,Bournemouth,56,42,0,32,10,446,163,369,612,168,334,76,240,47,152,523,296,340,450,12459,15944,105,716,2182,290,1956,294,127,50,153,37,6,356,3,23369,897,9,7,1,1,46,18,191,134,191,16,5,0,70,10,110,70,40,12,5,5,0,1024,1024,8,805,27,5,57,57,38,577
13,EPL,2018,15,Burnley,38,11,7,20,45,68,40,44.7412159,-0.2587840999999997,43.2189159,66.12206499999999,-1.8779350000000081,63.83859499999999,-20.619679100000006,14.485418849050815,10.630246321421213,193,315,41.9982,1.998200000000004,Burnley,45,31,0,21,10,360,115,367,692,167,256,49,174,49,222,585,311,360,358,9140,13009,95,1050,2236,207,2164,256,99,43,107,19,2,314,4,20297,651,2,2,0,0,51,17,140,129,140,14,2,0,68,8,140,98,48,19,3,3,1,1081,1081,11,1189,13,5,106,41,25,370
