team,INT,CR,ACR,CCOP,CCSP,BLK,TKL,FC,FS,P,AW,BR,DR,DW,IBS,OBS,DSP,PK,FKCR,CRN,FKS,SV,AKS,PKC,CL,PUNCH,ALB,ATB,LMT,TOFF,BCS
Brighton,27.68826828977205,38.01169590643275,11.039503520706528,12.352309344790548,3.1029955841985917,10.144408640649242,40.63730755460079,27.62859529776823,18.319608545172457,629.6694116242988,49.88662131519274,135.1593268886502,15.693996897004416,123.46342045590166,13.48609619286311,8.592910848549947,20.169471297290848,0.3580379520229144,3.0433225921947726,9.308986752595775,0.7160759040458288,6.623702112423917,0.1790189760114572,0.5967299200381907,54.958825635517364,0.5370569280343717,68.38524883637666,0.23869196801527628,0.23869196801527628,5.370569280343716,1.3724788160878387
Cardiff,35.872930407861084,37.95934849912505,9.960963790550545,14.672230448243369,3.7690133261542598,9.893659981154933,44.083995154125724,25.17162471395881,26.517700901871045,439.49387535334495,65.82312558890833,152.44312828106072,17.431686633463453,152.57773589985192,16.96055996769417,11.172432359671557,22.344864719343114,0.26921523758244714,4.105532373132319,11.307039978462782,0.8749495221429533,9.489837124781262,1.1441647597254003,0.47112666576928247,65.95773320769956,0.7403419033517297,58.75622560236909,0.6730380939561178,0.20191142818683536,5.182393323462107,1.278772378516624
Fulham,23.213521608900297,32.68078733418913,7.648694908001711,14.869490800171159,2.567394094993581,7.7021822849807435,31.93196405648267,22.625160462130935,18.453145057766367,760.1626016260162,40.11553273427471,125.26743688489515,18.881044073598627,108.73983739837398,13.211382113821136,11.125374411638852,25.99486521181001,0.16046213093709882,1.0697475395806588,8.611467693624302,0.5348737697903294,7.862644415917842,0.8557980316645271,0.3744116388532306,51.882755669661954,1.5511339323919555,58.62216516902011,0.7488232777064612,0.0,4.813863928112965,1.1767222935387247
Huddersfield,29.668119342943342,42.96569449100458,9.386523633925579,12.4036205162588,2.6818638954073077,7.263381383394792,39.44574812828248,23.466309084813943,20.728573024918983,673.7624315565985,48.050061459380935,131.41133087495808,12.794725667672365,120.12515364845234,12.962342161135322,9.498267962900883,22.40473795954855,0.05587216448765225,3.464074198234439,9.051290646999664,0.8380824673147838,6.369426751592356,0.446977315901218,0.446977315901218,36.70801206838753,1.1733154542406974,66.9348530562074,0.2793608224382612,0.05587216448765225,3.519946362722092,0.5587216448765224
Barcelona,16.758100462883593,16.886679238813645,3.6002057260414886,13.843648208469055,0.9000514315103721,4.328818789645123,23.058460483456198,17.572432710440594,23.95851191496657,957.4832847591292,19.7582719012515,97.33413337905023,18.943939653694496,84.81913252185839,14.829418823932796,9.257671866963827,18.643922509857706,0.38573632779015943,1.6286644951140066,8.786216355220297,2.142979598834219,4.071661237785016,0.2571575518601063,0.08571918395336876,21.644093948225613,0.38573632779015943,55.84604834561975,2.6144351105777477,0.04285959197668438,4.371678381621807,2.142979598834219
Atletico Madrid,24.71442297427138,31.493541155119036,7.046012597416462,13.82513077826412,2.882459698943098,5.017615031493541,41.90242340130245,25.408348457350275,24.394149674388814,753.2294224404826,36.991566136436425,123.35859933810185,19.109640226326466,121.27682288886517,13.82513077826412,9.981851179673322,22.045478808583326,0.2135155332550443,2.5621863990605314,11.583217679086154,1.1209565495889826,5.871677164513719,0.26689441656880536,0.26689441656880536,41.4220134514786,0.5337888331376107,55.78093306288032,1.5479876160990713,0.053378883313761075,4.270310665100886,1.7081242660403544
Real Madrid,16.982334729557458,34.69313421963213,8.013112365689311,16.84574758696048,2.5040976142779097,3.551265707521399,28.501183755235843,20.30595519941723,25.223092332908397,889.4554725915134,22.718994718630487,101.12001456929522,20.62465853214351,95.7475869604808,17.619741395010017,9.515570934256056,16.208340921507922,0.4097614277909306,2.6406847568748866,10.061919504643964,0.8650519031141869,4.234201420506283,0.4097614277909306,0.364232380258605,24.949918047714444,0.2276452376616281,69.88708796211984,1.1837552358404664,0.09105809506465125,5.09925332362047,1.821161901293025
Valencia,22.957498348381414,39.36357630477868,10.019819423034575,15.304998898920944,2.917859502312266,6.606474344857961,32.97731777141599,25.489980180576968,28.683109447258317,699.1852014974676,34.0233428760185,126.07355208103942,18.22285840123321,112.31006386258534,16.8465095793878,9.469279894296411,18.55318211847611,0.38537767011671437,2.477427879321735,10.790574763268003,0.9909711517286941,6.661528297731778,0.22021581149526537,0.44043162299053074,44.868971592160314,0.6055934816119798,63.3120458048888,1.5415106804668575,0.05505395287381634,4.129046465536225,1.9268883505835719
Sevilla,18.687282408355518,41.572803604341594,9.62523039115298,15.973786606594308,1.638337087855826,5.836575875486381,30.718820397296742,27.44214622158509,23.96067990989146,688.6135572394021,34.76346508294081,119.59860741347532,17.868113864427606,105.5703460987098,17.76571779643662,9.471636289166495,20.018431292238375,0.3071882039729674,2.0991193938152777,11.41716158099529,0.5631783739504403,5.631783739504403,0.46078230595945113,0.358386237968462,39.166496006553345,0.5631783739504403,59.594511570755685,1.638337087855826,0.1535941019864837,5.682981773499898,2.4575056317837394
Getafe,27.723378212974296,39.0452876376989,9.547123623011016,12.851897184822521,3.0599755201958385,4.957160342717259,37.02570379436965,39.290085679314565,31.028151774785805,437.51529987760097,53.12117503059975,145.04283965728274,18.2374541003672,137.08690330477356,16.768665850673194,7.833537331701346,22.399020807833537,0.3671970624235006,3.6719706242350063,9.66952264381885,0.795593635250918,6.24235006119951,1.1015911872705018,0.4283965728274174,52.32558139534884,1.8359853121175032,72.70501835985313,1.1627906976744187,0.06119951040391677,6.24235006119951,1.6523867809057529
