,league,year,position,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
180,EPL,2018,11,Watford,38,14,8,16,52,59,50,51.73354600000001,-0.2664539999999889,50.97237600000002,63.291170999999984,4.291170999999984,59.485323,-8.512947,12.497500664608385,10.361421707280273,275,264,46.00149999999999,-3.9985000000000066
181,EPL,2018,12,Crystal Palace,38,14,7,17,51,53,49,50.642166,-0.3578340000000039,42.269351,52.804285,-0.19571499999999986,48.998432,-6.7290810000000025,15.408263149673393,9.201229984572498,256,261,51.92549999999999,2.9254999999999924
182,EPL,2018,13,Newcastle United,38,12,9,17,42,48,45,39.9106505,-2.0893495000000044,37.6271415,57.545492,9.545492000000003,52.978485000000006,-15.3513435,14.721739818393585,10.545337655498406,178,305,39.2231,-5.776899999999998
183,EPL,2018,14,Bournemouth,38,13,6,19,56,70,45,58.812899,2.8128990000000016,51.962379,62.423162,-7.576838000000002,58.61741299999999,-6.655034000000002,17.275897577109973,10.752280518848501,280,313,51.4947,6.494700000000003
184,EPL,2018,15,Burnley,38,11,7,20,45,68,40,44.7412159,-0.2587840999999997,43.2189159,66.12206499999999,-1.8779350000000081,63.83859499999999,-20.619679100000006,14.485418849050815,10.630246321421213,193,315,41.9982,1.998200000000004
185,EPL,2018,16,Southampton,38,9,12,17,45,65,39,49.671325,4.671325000000003,45.86548,59.27171400000001,-5.728285999999991,56.98821400000002,-11.122733999999998,12.041886370515885,10.886729318778977,206,300,45.10750000000001,6.107500000000008
186,EPL,2018,17,Brighton,38,9,9,20,35,60,36,37.027868,2.027867999999998,32.46084400000001,62.46214499999999,2.462145,54.850534,-22.389689999999995,15.008271843371107,11.455870375765915,153,321,36.186,0.18599999999999994
187,EPL,2018,18,Cardiff,38,10,4,24,34,69,34,41.7697266,7.7697265999999985,38.7250676,66.503167,-2.496832999999995,61.174976,-22.449908399999998,18.46297272076852,6.019176202017512,143,357,37.44920000000001,3.449200000000012
188,EPL,2018,19,Fulham,38,7,5,26,34,81,26,42.621864,8.621863999999995,40.338362,73.58661000000002,-7.413389999999992,68.25856000000002,-27.920198,16.566611432665667,12.021677461265831,171,335,33.6044,7.604399999999997
189,EPL,2018,20,Huddersfield,38,3,7,28,22,76,16,29.002263000000006,7.002263000000003,28.241097999999997,67.194016,-8.805983999999993,61.10473900000001,-32.863640999999994,12.825775161703007,11.012888461756962,133,276,29.610599999999994,13.610599999999994
270,La_liga,2018,1,Barcelona,38,26,9,3,90,36,87,83.279534,-6.720466000000003,76.584704,44.93094999999999,8.930949999999989,43.44439999999999,33.14030400000001,9.015263901517137,16.404884844687324,417,171,73.96039999999998,-13.039600000000007
271,La_liga,2018,2,Atletico Madrid,38,22,10,6,55,29,76,51.872324000000006,-3.1276759999999935,48.73093600000002,41.43405900000001,12.434059000000005,37.71779400000001,11.013142000000002,11.066204538602877,11.10477810643612,252,190,59.4276,-16.572400000000002
272,La_liga,2018,3,Real Madrid,38,21,5,12,63,46,68,68.65477299999999,5.654773000000006,61.96552500000001,48.67575300000001,2.675753000000008,42.729664,19.235861,8.896578362734846,14.782500589542506,341,168,64.7728,-3.2271999999999963
273,La_liga,2018,4,Valencia,38,15,16,7,51,35,61,61.88494899999998,10.884948999999976,56.56901899999999,42.854366999999996,7.8543670000000025,36.90841000000001,19.660608999999994,12.964657587277866,9.474006705870321,278,215,65.16159999999999,4.161599999999994
274,La_liga,2018,5,Sevilla,38,17,8,13,62,47,59,69.16230599999999,7.162305999999987,64.54245300000001,46.71073199999999,-0.28926800000000696,41.508814999999984,23.033638,10.65203081464584,10.020620488210042,321,211,65.07809999999999,6.078099999999992
275,La_liga,2018,6,Getafe,38,15,14,9,48,35,59,47.034178,-0.9658219999999956,42.578151,44.226040999999995,9.226041000000002,39.023109999999996,3.5550409999999992,8.766903297859301,5.700771442750934,186,196,53.1872,-5.812799999999997
276,La_liga,2018,7,Espanyol,38,14,11,13,48,50,53,50.15734599999999,2.1573459999999898,47.18422799999999,54.61608600000002,4.616086000000017,48.54874700000001,-1.364519000000001,9.856488791776902,9.819171281248204,241,241,50.0883,-2.9117000000000037
277,La_liga,2018,8,Athletic Club,38,13,14,11,41,45,53,44.441324,3.4413239999999945,38.917078999999994,47.15881799999999,2.158817999999989,43.44242800000001,-4.5253489999999985,8.304491872691997,11.302557686903405,221,185,50.01219999999999,-2.9878000000000067
278,La_liga,2018,9,Real Sociedad,38,13,11,14,45,46,50,47.987101,2.9871010000000027,40.55446600000001,48.094440000000006,2.0944399999999987,45.68397,-5.129504000000002,9.943556360727678,9.488771035326913,194,208,51.12550000000001,1.1255000000000095
279,La_liga,2018,10,Alaves,38,13,11,14,39,50,50,40.87301300000001,1.8730130000000076,38.643174,54.53208800000001,4.532088000000009,50.072421000000006,-11.429247,11.228230078782058,7.096709822691348,129,270,44.01619999999999,-5.9838000000000084
280,La_liga,2018,11,Real Betis,38,14,8,16,44,52,50,51.677425,7.677424999999999,46.35324500000001,53.54473199999999,1.5447319999999891,49.828348999999996,-3.4751039999999986,9.316620850951313,12.38168493475522,241,220,52.3904,2.3904
281,La_liga,2018,12,Eibar,38,11,14,13,46,50,47,56.63360599999999,10.633605999999991,50.68738099999999,47.884205,-2.1157950000000056,44.91108499999999,5.776295999999998,7.067694653568081,11.224323961604387,235,177,56.75300000000002,9.75300000000002
282,La_liga,2018,13,Leganes,38,11,12,15,37,43,45,41.24928400000001,4.249284000000009,37.53314900000001,43.936601,0.936600999999996,40.79521999999999,-3.2620710000000006,12.471570785777807,9.964576074877924,155,190,51.14569999999999,6.145699999999992
283,La_liga,2018,14,Levante,38,11,11,16,59,66,44,54.08891299999999,-4.911087000000009,48.886359000000006,78.86325499999998,12.863254999999981,72.01381799999999,-23.127458999999995,10.581995110215344,7.043106727634993,206,295,40.23330000000001,-3.7666999999999935
284,La_liga,2018,15,Villarreal,38,10,14,14,49,52,44,54.79973999999998,5.799739999999979,50.32650399999999,56.11814799999999,4.118147999999991,52.402151,-2.075647,11.152921069614614,11.173710155519862,232,263,52.17990000000001,8.179900000000009
285,La_liga,2018,16,Celta Vigo,38,10,11,17,53,62,41,48.69985200000002,-4.300147999999986,43.49692900000001,63.4295,1.429499999999997,58.22655399999999,-14.729625000000008,10.772791434260554,11.755188285583776,195,248,41.626000000000005,0.6259999999999977
286,La_liga,2018,17,Real Valladolid,38,10,11,17,32,51,41,41.641546999999974,9.641546999999981,36.438739,57.647325,6.647324999999995,50.82946199999999,-14.390723000000001,11.450773336203998,9.834414454214562,139,243,41.7997,0.7997000000000014
287,La_liga,2018,18,Girona,38,9,10,19,37,53,37,42.986638000000006,5.986638000000006,38.527246999999996,55.334056000000004,2.334055999999997,49.38795,-10.860703,11.3904531125528,9.8565446351714,177,261,45.16560000000001,8.165600000000005
288,La_liga,2018,19,SD Huesca,38,7,12,19,43,65,33,51.37756899999998,8.377568999999982,46.17501199999999,63.425214,-1.5747859999999958,56.73598499999999,-10.560972999999997,10.221756055844525,8.701259696940419,171,259,44.9625,11.9625
289,La_liga,2018,20,Rayo Vallecano,38,8,8,22,41,70,32,47.233183,6.233183000000004,43.517691000000006,62.318235,-7.681765000000006,54.001658,-10.483966999999998,9.531583380516217,7.522984466152092,133,253,43.015,11.015
370,Ligue_1,2018,1,Paris Saint Germain,38,29,4,5,105,35,91,95.34405999999998,-9.655940000000015,86.22307699999998,36.782404799999995,1.7824048000000021,32.0777118,54.14536519999999,7.785468251157264,18.947671996022738,459,132,86.0429,-4.957099999999997
371,Ligue_1,2018,2,Lille,38,22,9,7,68,33,75,60.00665599999999,-7.993344000000007,50.026531,39.84752999999999,6.847529999999992,32.246634,17.779897000000002,11.975529779779038,11.29012705073049,196,162,67.0171,-7.982900000000001
372,Ligue_1,2018,3,Lyon,38,21,9,8,70,47,72,72.71409200000001,2.7140919999999937,65.11332399999999,44.70581120000002,-2.2941887999999864,40.90534220000001,24.2079818,8.60487065362764,14.678871439280837,264,152,69.48670000000001,-2.5132999999999868
373,Ligue_1,2018,4,Saint-Etienne,38,19,9,10,59,41,66,57.84906499999999,-1.1509350000000111,54.04858699999998,48.808580600000006,7.808580599999999,41.9678046,12.0807824,10.320699571123226,12.210006657558973,197,185,58.3746,-7.625400000000006
374,Ligue_1,2018,5,Marseille,38,18,7,13,60,52,61,52.080527000000004,-7.9194730000000035,48.28019299999999,44.589918,-7.4100819999999965,35.42076599999999,12.859426999999998,8.868161890871738,14.009418276039831,181,140,55.92750000000001,-5.072499999999991
375,Ligue_1,2018,6,Montpellier,38,15,14,9,53,42,59,46.62067699999999,-6.379323000000007,44.34052499999999,41.25642200000001,-0.7435779999999923,37.33444700000001,7.006078,12.061848366779282,11.297010832104366,192,178,56.0964,-2.9035999999999973
376,Ligue_1,2018,7,Nice,38,15,11,12,30,35,56,43.449513,13.449513000000005,36.51428299999999,49.732516,14.732516000000004,45.172001,-8.657717999999997,11.599403481410205,13.548910063787947,135,216,48.15840000000002,-7.8415999999999855
377,Ligue_1,2018,8,Reims,38,13,16,9,39,42,55,37.119521,-1.880479000000001,35.59932999999999,42.28275399999999,0.28275399999999,36.962162400000004,-1.3628323999999987,13.311111790634529,9.108998729633841,165,176,48.21990000000001,-6.78009999999999
378,Ligue_1,2018,9,Nimes,38,15,8,15,57,58,53,48.504984,-8.495016,43.944745000000005,55.471937,-2.528063000000003,51.67159,-7.726844999999999,11.315547086499025,8.8104803764441,151,189,49.8976,-3.102400000000003
379,Ligue_1,2018,10,Rennes,38,13,13,12,55,52,52,56.051170000000006,1.0511700000000133,48.30463700000002,46.19415000000002,-5.805849999999985,42.31018400000001,5.994452999999999,10.898668890260586,11.897952019372413,187,207,59.93230000000002,7.932300000000026
380,Ligue_1,2018,11,Strasbourg,38,11,16,11,58,48,49,40.58874,-17.411260000000006,35.219885999999995,48.5063415,0.5063414999999978,41.5713025,-6.351416499999999,12.704171596230069,13.227018232715855,156,182,46.48069999999999,-2.5193000000000154
381,Ligue_1,2018,12,Nantes,38,13,9,16,48,48,48,48.038438,0.038437999999999306,41.957929,47.296807,-0.7031929999999988,41.070258,0.8876709999999994,10.274389822448562,10.192764525093576,166,182,54.6208,6.620800000000003
382,Ligue_1,2018,13,Angers,38,10,16,12,44,49,46,47.496038,3.496037999999998,39.750887,46.30528199999999,-2.6947180000000097,42.405612,-2.6547250000000004,16.96153690455383,10.155006730004557,189,204,53.2052,7.205199999999998
383,Ligue_1,2018,14,Bordeaux,38,10,11,17,34,42,41,37.2663785,3.2663784999999947,32.681127499999995,52.186512,10.186511999999999,46.86591200000001,-14.184784499999996,11.047981161545449,10.625571141056172,159,188,41.3669,0.36689999999999395
384,Ligue_1,2018,15,Toulouse,38,8,14,16,35,57,38,42.72779600000001,7.727796000000005,34.366949000000005,56.420711,-0.5792889999999957,51.86040499999999,-17.493456,12.262682312033187,9.976165159733805,174,209,43.9835,5.9834999999999985
385,Ligue_1,2018,16,Amiens,38,9,11,18,31,52,38,34.630686000000004,3.630686000000004,32.350410000000004,46.755321,-5.244679000000005,39.91454,-7.564129999999998,11.070733603426767,9.500525852298312,146,213,42.3446,4.3446
386,Ligue_1,2018,17,Monaco,38,8,12,18,38,57,36,46.49481819999998,8.494818199999981,42.69446719999999,48.76286300000001,-8.23713699999999,42.657608,0.036859200000001424,11.131900537625484,11.255752799968713,184,169,51.26680000000002,15.266800000000027
387,Ligue_1,2018,18,Dijon,38,9,7,22,31,60,34,36.130932,5.130931999999994,32.9690394,57.61286199999999,-2.3871380000000078,55.332705000000004,-22.3636656,11.05603292373914,10.94207669315166,199,214,37.4682,3.468200000000003
388,Ligue_1,2018,19,Caen,38,7,12,19,29,54,33,26.9720973,-2.027902700000002,23.931855300000002,61.086346,7.086345999999999,55.00584199999999,-31.073986699999995,12.718814711010806,9.058018483121312,98,224,30.23909999999999,-2.7609000000000097
389,Ligue_1,2018,20,Guingamp,38,5,12,21,28,68,27,39.4550368,11.455036799999995,34.8108968,54.936156700000005,-13.063843300000002,50.37585169999999,-15.5649549,13.766611057392325,9.00381733402865,151,227,44.1193,17.119299999999996
550,Serie_A,2018,1,Juventus,38,28,6,4,70,30,90,64.52717999999999,-5.472820000000013,58.436831000000005,35.03205310000001,5.032053100000006,31.98693680000001,26.449894200000006,10.160174461892913,13.964740610341346,290,158,70.92990000000002,-19.070099999999982
551,Serie_A,2018,2,Napoli,38,24,7,7,74,36,79,68.237943,-5.762056999999999,65.19279300000001,36.50233649999999,0.5023364999999913,33.457179499999995,31.7356135,10.724236356146054,18.070187315701816,344,181,74.4511,-4.548900000000003
552,Serie_A,2018,3,Atalanta,38,20,9,9,77,46,69,74.42529300000002,-2.5747069999999894,71.38009299999999,41.849468,-4.1505320000000046,38.04301300000001,33.33708,8.926904684413559,13.724031476548813,367,164,71.88260000000002,2.8826000000000107
553,Serie_A,2018,4,Inter,38,20,9,9,57,33,69,66.47384799999999,9.47384799999999,59.622361,38.401340999999995,5.401341000000002,34.594894999999994,25.027466,9.183001992827656,17.12403833156835,311,192,71.74619999999999,2.7461999999999875
554,Serie_A,2018,5,AC Milan,38,19,11,8,55,36,68,52.16481300000001,-2.8351869999999906,49.1196927,41.70170099999999,5.701700999999992,37.895201,11.224491700000005,11.936967300692885,14.05629057453722,255,194,60.1064,-7.893599999999998
555,Serie_A,2018,6,Roma,38,18,12,8,66,48,66,68.394175,2.3941750000000037,63.82645000000001,52.79382100000002,4.7938210000000145,47.46480500000001,16.361645000000003,13.657052678286998,13.705715562099586,296,219,62.1298,-3.870199999999997
556,Serie_A,2018,7,Torino,38,16,15,7,52,37,63,46.47120500000001,-5.528794999999995,41.903657,48.94320499999999,11.943204999999994,45.136753000000006,-3.2330960000000006,7.6040606308695375,8.572115784590983,219,215,49.8381,-13.161899999999996
557,Serie_A,2018,8,Lazio,38,17,8,13,56,46,59,61.26507900000001,5.265079,56.697329,46.44548200000001,0.4454820000000055,41.868607,14.828722000000004,11.669451189630827,13.172013275267307,337,196,61.0383,2.0383
558,Serie_A,2018,9,Sampdoria,38,15,8,15,60,51,53,53.194756000000005,-6.805244000000003,44.05938,54.27488199999999,3.274881999999991,48.04857799999999,-3.9891980000000005,9.506282647281557,12.864331295295296,290,215,50.94820000000002,-2.051799999999986
559,Serie_A,2018,10,Bologna,38,11,11,16,48,56,44,48.100653,0.10065299999999412,44.29415300000001,51.05562200000001,-4.944377999999993,48.01042100000001,-3.716268,13.432920082398624,9.090118792411564,200,238,48.95350000000001,4.9535000000000045
560,Serie_A,2018,11,Sassuolo,38,9,16,13,53,60,43,49.75482300000001,-3.245176999999991,45.94836500000001,61.107331000000016,1.1073310000000165,55.01725240000001,-9.068887400000001,11.569352101445403,11.226541331411863,191,220,45.63980000000001,2.639800000000008
561,Serie_A,2018,12,Udinese,38,11,10,17,39,53,43,42.48628299999999,3.4862829999999865,36.21948,62.23432600000002,9.234326000000015,55.38272800000001,-19.163248000000006,14.520379095856688,8.258603130964934,166,290,38.66579999999999,-4.33420000000001
562,Serie_A,2018,13,SPAL 2013,38,11,9,18,44,56,42,43.28407000000001,-0.7159299999999931,37.193884,54.011208,-1.988792000000004,50.20475,-13.010865999999998,12.367779236372225,10.449170340038398,139,288,44.733999999999995,2.7340000000000018
563,Serie_A,2018,14,Fiorentina,38,8,17,13,47,45,41,54.123063,7.123063000000003,49.55527999999999,44.0784088,-0.9215912000000016,39.510731799999995,10.0445482,9.725814176769411,10.54236862996559,211,194,59.21800000000001,18.21800000000001
564,Serie_A,2018,15,Cagliari,38,10,11,17,36,54,41,40.939495,4.939494999999994,38.65559499999999,63.740840000000006,9.74084,56.12792400000001,-17.472329000000002,10.48832488447744,12.999506442603385,196,292,39.3664,-1.6336000000000013
565,Serie_A,2018,16,Parma Calcio 1913,38,10,11,17,41,61,41,41.0986435,0.09864349999999432,37.29218489999999,64.98114400000001,3.981144000000015,58.89079000000002,-21.598605100000004,16.81957508538363,7.936237585238111,128,346,36.7845,-4.215499999999999
566,Serie_A,2018,17,Genoa,38,8,14,16,39,57,38,44.53906780000001,5.539067800000005,40.73264880000001,56.354305000000004,-0.6456950000000035,51.786555,-11.053906199999998,12.17197102737842,9.15807988738573,235,255,44.68179999999999,6.681799999999987
567,Serie_A,2018,18,Empoli,38,10,8,20,51,70,38,52.061419,1.0614190000000008,46.59641000000001,63.32737999999999,-6.672620000000008,57.237067,-10.640656999999994,14.096073605930854,11.303252408069467,292,265,46.5398,8.5398
568,Serie_A,2018,19,Frosinone,38,5,10,23,29,69,25,36.1032521,7.103252099999999,32.2967901,64.5936685,-4.406331499999993,60.78729850000001,-28.4905084,14.777898995615477,9.125747001085426,139,335,35.9425,10.942500000000004
569,Serie_A,2018,20,Chievo,38,2,14,22,25,75,20,36.4763295,11.4763295,31.9085255,62.692868,-12.307131999999996,59.480417,-27.57189149999999,13.518123249549012,11.513253708093975,147,296,35.00010000000001,15.000100000000009
