Team,ppda_coef,deep,S,CR,CCOP,CCSP,P,DR,IBS,OBS,TBOX,FKCR,CRN,CRNCR,FKS,ALB,ATB,TOFF,BCS,oppda_coef,deep_allowed,INT,BLK,TKL,FC,AW,BR,DW,AKS,CL,PUNCH,LMT,poss
Hertha Berlin,0.4490799005874405,-0.15229154370599934,-0.4859234935356349,-0.7147935291814371,-0.4045355202311537,0.3545312505964896,-0.20242330534818326,0.10446591544242073,0.15294300341663944,-1.3932335028817229,-0.4007769381668652,-0.5768454714981919,-0.7968989354886133,-0.30394774277691755,-0.4530412071532171,0.5288233882756054,-0.019819303194633892,0.5677356631129044,0.7764066024897036,0.3097373746039511,0.956703341609162,0.17253748125654916,0.4567556746840712,-0.7285979040589701,0.36564609953790295,0.7596469929666277,-0.547199111389541,0.2490811020825231,-0.17954475281608606,0.4969718117926483,-0.9698150094136186,-1.2485986056693454,-0.2833018641462538
Mainz 05,1.244789433065358,0.06822154007194849,0.8074363283510694,0.24488255335427664,0.8047166170137544,-0.03196593243083165,-0.5230753960839855,0.3503561074453552,0.36292950267790997,1.2412140199533837,-0.22426640929200706,0.2132465931823701,-0.6684347289278755,0.0523695900986045,8.111749456663422e-05,0.8926706192478115,-0.1130100672057636,1.0888392700960716,-0.019995597667755587,-0.1041341718656409,0.7912531416136889,0.5031701983402862,0.7536218093121839,-0.8953603182007719,0.09353057702008667,0.3886522763488804,0.5502286408057445,-0.09523145328322204,-0.3751634361066373,-0.253295960424164,-0.25873190347616704,-0.5962723981058432,-0.6280651261387004
Freiburg,1.511865526508978,-0.839773510778425,-0.06417572552910059,-0.7982436233149771,-0.22612127047370825,-0.3218388197013222,-0.4285742717817676,-0.8790948525693172,-0.5533752213712693,0.7968493775474618,-0.8961451966221112,0.1254585859956407,-0.5078544707269543,-0.2643569280129702,0.1511218923771612,0.9608919750551004,-0.6721546512725416,-0.9304372069637016,-0.41819669774648494,0.02631747463249711,0.8946595166108592,-0.003799967854776546,0.7960312571161999,0.16080163803063674,0.013496599808964522,-0.2296722513473669,-1.3471931737375085,-0.46301986469663103,0.016073930474465238,1.3239715152589089,0.4523512024612843,-1.2485986056693454,-0.9322680043673296
Schalke 04,0.3776754934394994,-0.4895468483075667,-0.1063505023297547,-0.8608311939151321,-0.5829497699885992,3.156635827544568,-0.5784726068818374,1.2191681191890564,0.01931523115946796,-0.31406222846734183,0.12875464845770865,2.5835227872240547,-0.2830421092456637,0.7650042558496474,8.111749456663422e-05,-0.2974130320571111,-0.3925823592391527,0.6980115648586956,-0.11954587268743805,-0.5413165154432612,-0.4496233583523583,1.2305621759245071,0.5839840180961192,1.4763717940381784,0.5417208494023728,0.009413232695181585,1.186121357031053,1.2898440535289766,-0.3751634361066373,-0.5858009958384337,0.4523512024612843,-0.5962723981058432,-0.6280651261387004
Augsburg,0.3686876185725286,-0.3079478381374922,0.3153972656767796,-0.1097803467132696,0.13070722904118262,0.4511555463533203,-0.5416497549985595,-1.3708752365751855,0.3820191844289345,0.06682175073773429,-0.5602058029570588,-0.3134814499380043,-0.7968989354886133,-0.4623110018327049,0.1511218923771612,0.2104570611749256,-0.6721546512725416,1.2191151718418631,-0.11954587268743805,0.09712180199533817,1.2462411916012393,2.4649243197037927,1.262535182960378,0.4943264663142381,0.6377616220557193,0.5370501629959791,1.206634025296384,-0.3534658698075299,-0.3751634361066373,0.2241471673501719,-0.9698150094136186,0.7083800170211614,-0.648345318020609
VfB Stuttgart,1.355266014579244,-0.6841172163469326,-0.4437487167349816,1.0898147564563725,-0.2855926870595232,-0.03196593243083165,-0.6087781398477213,-0.9610582499036284,-0.4388371308651217,-0.31406222846734183,-0.6854713395779258,0.476610614742557,-0.02611369612418884,0.6066409967938594,-0.3020004322706225,-0.2140313749593147,-0.5789638872614119,0.04663205612973712,-0.7168475228055323,-0.03448464585588231,1.1221535416046349,0.5252123794792019,0.4143462268800545,-0.02448993323803289,-0.8188567631867089,1.0069768040451266,-0.7625821281755344,0.4760143772099452,0.9941673469272212,1.1449303423435329,0.6301219789456473,2.6653586397116684,-0.648345318020609
Hannover 96,2.749959563051636,-0.6322317848697685,-0.7811469311402086,-1.05902516748229,-0.6424211865744139,0.06465836332599903,-0.5393686933774716,-0.33813643016286155,-0.7060926753794657,-0.5997252128711484,-0.9075329726785536,-0.050117428377817436,-0.8932470904091661,-0.026812039429290082,-0.7551227569184062,0.1498158560128915,-0.7653454152836713,-0.5396095017263263,-1.0154983478645798,-0.4063879721249575,2.135536016576906,1.8697854289530655,0.7536218093121839,0.14227248090376887,-0.03452378651770878,0.09185650305468188,-0.024126070623562798,0.17082824859030776,0.016073930474465238,0.4799202715149936,0.4523512024612843,-1.2485986056693454,-0.5266641667291573
Nuernberg,3.612915508744032,-0.748974005693388,-1.1185451455454365,-1.3302379734162966,-1.3957257966614065,0.4511555463533203,-0.7795318954834537,-0.7807387757681433,-1.431500581918399,-0.15536057046522664,-1.3801256790209144,0.8277626434894733,-0.6363186772876912,-0.06640285419323677,0.1511218923771612,-0.6006190578672833,-0.8585361792948009,-0.8001613052179098,-1.2145988979039446,0.09527479338646863,1.1014722666052,-0.4446435906330921,0.5415745702921032,-0.4691897042828346,-0.4987208543422192,0.21552140859393132,-1.5420635222581682,-0.572573859585732,-0.3751634361066373,0.7356933756798163,2.0522881908205504,-0.5962723981058432,-1.1959104988321407
Manchester City,-1.2911151154349552,4.085928964323413,2.4115576635057465,0.8235430745171153,2.1506486765874664,-0.3828646907056361,2.9412397761354967,1.5194129852136915,2.553219303584939,1.2712838077853637,3.9313728163576585,-0.6230496858069965,3.0773110834220465,1.7631095333196756,0.11932383450714153,-0.2032595819371108,1.3142800552804856,1.3939591452375308,2.012925807997338,4.405025554888615,-1.7568976359481678,-1.1082292543941357,-2.114596107959436,-2.057821123212626,-2.0918182323025616,-1.0909874706295075,-0.5768884996683131,-2.098092645560274,1.0559416679663427,-1.8745384610338205,-1.2598620657828423,-1.2485986056693454,2.839847685667672
Liverpool,-0.4486572009822377,2.3334302458776177,1.0530859055057529,0.2355493191419725,0.7671557223279759,-0.29641137344952523,1.8653676295877384,0.3167079759081114,1.3917628770489183,0.10691480118037333,2.1533813599662643,-0.4659553571570604,1.6692757667760687,1.1254890429108475,-0.0158179114404435,0.2579327415320449,1.5644236849945707,0.1700513314678551,2.10199710669916,2.3958513288323378,-1.4423245583251962,-2.0548829285707297,-1.5454166769055344,-0.5491576455672086,-2.2780025371831734,-0.6483972823837727,0.8271496623877339,-1.3559261087551644,1.4059961538546977,-1.1498479992334891,0.4897766290895713,-0.08127802371360465,1.7852777078084234
