Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
13,Fri,11/30/18,20:30 (14:30),Düsseldorf,1.4,0–1,1,Mainz 05,37091,Merkur Spielarena,Manuel Gräfe
13,Sat,12/1/18,15:30 (09:30),Werder Bremen,0.6,1–2,2.5,Bayern Munich,42100,Weserstadion,Christian Dingert
13,Sat,12/1/18,15:30 (09:30),Dortmund,2.3,2–0,0.1,Freiburg,81365,Signal Iduna Park,Frank Willenborg
13,Sat,12/1/18,15:30 (09:30),Hannover 96,1,0–2,1.4,Hertha BSC,35800,HDI-Arena,Felix Brych
13,Sat,12/1/18,15:30 (09:30),Stuttgart,0.6,1–0,1,Augsburg,52739,Mercedes-Benz Arena,Harm Osmers
13,Sat,12/1/18,18:30 (12:30),Hoffenheim,2.1,1–1,2.1,Schalke 04,30000,PreZero Arena,Robert Kampka
13,Sun,12/2/18,15:30 (09:30),RB Leipzig,2.3,2–0,0.7,M'gladbach,41939,Red Bull Arena,Markus Schmidt
13,Sun,12/2/18,18:00 (12:00),Eint Frankfurt,1.8,1–2,1,Wolfsburg,48000,Commerzbank-Arena,Sascha Stegemann
13,Mon,12/3/18,20:30 (14:30),Nürnberg,0.7,1–1,1.4,Bayer,32238,Max-Morlock-Stadion,Bibiana Steinhaus
,,,,,,,,,,,
14,Fri,12/7/18,20:30 (14:30),Werder Bremen,1.8,3–1,1.2,Düsseldorf,41500,Weserstadion,Marco Fritz
14,Sat,12/8/18,15:30 (09:30),Freiburg,1.9,3–0,1,RB Leipzig,23800,Schwarzwald-Stadion,Tobias Welz
14,Sat,12/8/18,15:30 (09:30),Wolfsburg,0.5,2–2,1.8,Hoffenheim,20602,Volkswagen Arena,Felix Zwayer
14,Sat,12/8/18,15:30 (09:30),Schalke 04,1.5,1–2,1.4,Dortmund,61767,Veltins-Arena,Daniel Siebert
14,Sat,12/8/18,15:30 (09:30),Bayern Munich,2,3–0,0.2,Nürnberg,75000,Allianz Arena,Tobias Stieler
14,Sat,12/8/18,15:30 (09:30),Bayer,1.8,1–0,0.8,Augsburg,25558,BayArena,Bastian Dankert
14,Sat,12/8/18,18:30 (12:30),Hertha BSC,0.4,1–0,1.3,Eint Frankfurt,42578,Olympiastadion Berlin,Daniel Schlager
14,Sun,12/9/18,15:30 (09:30),Mainz 05,2.6,1–1,1.5,Hannover 96,23305,Opel Arena,Robert Hartmann
14,Sun,12/9/18,18:00 (12:00),M'gladbach,1.2,3–0,1,Stuttgart,48590,Stadion im Borussia-Park,Deniz Aytekin
,,,,,,,,,,,
15,Fri,12/14/18,20:30 (14:30),Nürnberg,0.8,0–2,0.8,Wolfsburg,29604,Max-Morlock-Stadion,Sven Jablonski
15,Sat,12/15/18,15:30 (09:30),Stuttgart,1,2–1,1,Hertha BSC,47680,Mercedes-Benz Arena,Sascha Stegemann
15,Sat,12/15/18,15:30 (09:30),Augsburg,1.9,1–1,0.6,Schalke 04,27233,WWK Arena,Manuel Gräfe
15,Sat,12/15/18,15:30 (09:30),Düsseldorf,2.1,2–0,0.8,Freiburg,39301,Merkur Spielarena,Harm Osmers
15,Sat,12/15/18,15:30 (09:30),Hannover 96,0.1,0–4,3.4,Bayern Munich,49000,HDI-Arena,Sören Storks
15,Sat,12/15/18,15:30 (09:30),Hoffenheim,2.7,0–0,0.5,M'gladbach,30150,PreZero Arena,Benjamin Cortus
15,Sat,12/15/18,18:30 (12:30),Dortmund,2.3,2–1,0.4,Werder Bremen,81365,Signal Iduna Park,Guido Winkmann
15,Sun,12/16/18,15:30 (09:30),RB Leipzig,2.8,4–1,0.9,Mainz 05,30136,Red Bull Arena,Martin Petersen
15,Sun,12/16/18,18:00 (12:00),Eint Frankfurt,3.6,2–1,1,Bayer,46500,Commerzbank-Arena,Felix Brych
,,,,,,,,,,,
16,Tue,12/18/18,18:30 (12:30),M'gladbach,2.8,2–0,0.8,Nürnberg,42323,Stadion im Borussia-Park,Robert Schröder
16,Tue,12/18/18,20:30 (14:30),Hertha BSC,1.9,2–2,0.7,Augsburg,27939,Olympiastadion Berlin,Frank Willenborg
16,Tue,12/18/18,20:30 (14:30),Wolfsburg,1.2,2–0,0.6,Stuttgart,21780,Volkswagen Arena,Robert Hartmann
16,Tue,12/18/18,20:30 (14:30),Düsseldorf,1.4,2–1,0.8,Dortmund,52000,Merkur Spielarena,Tobias Welz
16,Wed,12/19/18,18:30 (12:30),Schalke 04,1.7,1–2,0.6,Bayer,61548,Veltins-Arena,Deniz Aytekin
16,Wed,12/19/18,20:30 (14:30),Bayern Munich,1.6,1–0,0.4,RB Leipzig,75000,Allianz Arena,Marco Fritz
16,Wed,12/19/18,20:30 (14:30),Mainz 05,1.5,2–2,1.1,Eint Frankfurt,30805,Opel Arena,Daniel Siebert
16,Wed,12/19/18,20:30 (14:30),Freiburg,1.8,1–1,1.6,Hannover 96,23500,Schwarzwald-Stadion,Christian Dingert
16,Wed,12/19/18,20:30 (14:30),Werder Bremen,2.5,1–1,1.3,Hoffenheim,40003,Weserstadion,Markus Schmidt
,,,,,,,,,,,
17,Fri,12/21/18,20:30 (14:30),Dortmund,1.7,2–1,0.6,M'gladbach,81365,Signal Iduna Park,Felix Zwayer
17,Sat,12/22/18,15:30 (09:30),Stuttgart,1.5,1–3,2.2,Schalke 04,54022,Mercedes-Benz Arena,Felix Brych
17,Sat,12/22/18,15:30 (09:30),Nürnberg,0.8,0–1,0.4,Freiburg,36190,Max-Morlock-Stadion,Robert Kampka
17,Sat,12/22/18,15:30 (09:30),RB Leipzig,2,3–2,2,Werder Bremen,40455,Red Bull Arena,Bibiana Steinhaus
17,Sat,12/22/18,15:30 (09:30),Hannover 96,0.6,0–1,1.1,Düsseldorf,34200,HDI-Arena,Bastian Dankert
17,Sat,12/22/18,15:30 (09:30),Bayer,2.2,3–1,1.4,Hertha BSC,27647,BayArena,Tobias Stieler
17,Sat,12/22/18,18:30 (12:30),Eint Frankfurt,1.1,0–3,1.9,Bayern Munich,51500,Commerzbank-Arena,Manuel Gräfe
17,Sun,12/23/18,15:30 (09:30),Augsburg,0.8,2–3,2.2,Wolfsburg,28152,WWK Arena,Sören Storks
17,Sun,12/23/18,18:00 (12:00),Hoffenheim,2.6,1–1,1.1,Mainz 05,28216,PreZero Arena,Sascha Stegemann
,,,,,,,,,,,
18,Fri,1/18/19,20:30 (14:30),Hoffenheim,1.2,1–3,2.9,Bayern Munich,30150,PreZero Arena,Tobias Welz
18,Sat,1/19/19,15:30 (09:30),Bayer,1.8,0–1,0.6,M'gladbach,29628,BayArena,Daniel Siebert
18,Sat,1/19/19,15:30 (09:30),Hannover 96,0.9,0–1,2.6,Werder Bremen,44300,HDI-Arena,Marco Fritz
18,Sat,1/19/19,15:30 (09:30),Augsburg,0.8,1–2,1,Düsseldorf,27568,WWK Arena,Christian Dingert
18,Sat,1/19/19,15:30 (09:30),Stuttgart,2.9,2–3,1.6,Mainz 05,51881,Mercedes-Benz Arena,Tobias Stieler
18,Sat,1/19/19,15:30 (09:30),Eint Frankfurt,2.5,3–1,1.6,Freiburg,49200,Commerzbank-Arena,Sven Jablonski
18,Sat,1/19/19,18:30 (12:30),RB Leipzig,1.2,0–1,0.9,Dortmund,41939,Red Bull Arena,Deniz Aytekin
18,Sun,1/20/19,15:30 (09:30),Nürnberg,1,1–3,2,Hertha BSC,36112,Max-Morlock-Stadion,Guido Winkmann
18,Sun,1/20/19,18:00 (12:00),Schalke 04,2.4,2–1,1.4,Wolfsburg,58827,Veltins-Arena,Manuel Gräfe
,,,,,,,,,,,
19,Fri,1/25/19,20:30 (14:30),Hertha BSC,0.9,2–2,1,Schalke 04,43027,Olympiastadion Berlin,Felix Brych
19,Sat,1/26/19,15:30 (09:30),Dortmund,2.1,5–1,0.8,Hannover 96,81365,Signal Iduna Park,Manuel Gräfe
19,Sat,1/26/19,15:30 (09:30),Mainz 05,2.9,2–1,0.5,Nürnberg,22005,Opel Arena,Bastian Dankert
19,Sat,1/26/19,15:30 (09:30),Freiburg,2.1,2–4,2.3,Hoffenheim,23900,Schwarzwald-Stadion,Bibiana Steinhaus
19,Sat,1/26/19,15:30 (09:30),Wolfsburg,0.7,0–3,3.1,Bayer,21736,Volkswagen Arena,Felix Zwayer
19,Sat,1/26/19,15:30 (09:30),M'gladbach,1.9,2–0,0.7,Augsburg,42509,Stadion im Borussia-Park,Harm Osmers
19,Sat,1/26/19,18:30 (12:30),Werder Bremen,3.2,2–2,1.5,Eint Frankfurt,42100,Weserstadion,Markus Schmidt
19,Sun,1/27/19,15:30 (09:30),Bayern Munich,2.3,4–1,0.8,Stuttgart,75000,Allianz Arena,Frank Willenborg
19,Sun,1/27/19,18:00 (12:00),Düsseldorf,0.4,0–4,2.4,RB Leipzig,34394,Merkur Spielarena,Robert Hartmann
,,,,,,,,,,,
20,Fri,2/1/19,20:30 (14:30),Hannover 96,0.1,0–3,3.3,RB Leipzig,32400,HDI-Arena,Daniel Schlager
20,Sat,2/2/19,15:30 (09:30),Hertha BSC,1.4,0–1,1.3,Wolfsburg,39259,Olympiastadion Berlin,Bastian Dankert
20,Sat,2/2/19,15:30 (09:30),Eint Frankfurt,1,1–1,1.4,Dortmund,51500,Commerzbank-Arena,Felix Zwayer
20,Sat,2/2/19,15:30 (09:30),Nürnberg,1.1,1–1,1,Werder Bremen,35753,Max-Morlock-Stadion,Robert Kampka
20,Sat,2/2/19,15:30 (09:30),Bayer,1.6,3–1,1.6,Bayern Munich,30210,BayArena,Tobias Stieler
20,Sat,2/2/19,15:30 (09:30),Hoffenheim,1.6,1–1,0.8,Düsseldorf,24747,PreZero Arena,Benjamin Cortus
